Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Średni rytm biegu,Maksymalny rytm biegu,Średnie tempo,Najlepsze tempo,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Średni czas kontaktu z podłożem,Średni rytm biegu,Maksymalny rytm biegu,Training Stress Score® (TSS®),Średnia moc,Maksymalna moc,Trudność,Płynność,Średni Swolf,Średnie tempo ruchów,Razem powtórzeń,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Piesze wędrówki,2023-01-14 07:38:23,FALSE,Bielsko-Biała Piesze wędrówki,12.99,"1,524",04:19:57,117,181,65,237,20:00,09:01,682,681,0.77,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,04:19:57.42,1,0.0,02:51:46,04:19:57,413,920
Piesze wędrówki,2023-01-07 07:40:37,FALSE,Wilkowice Piesze wędrówki,18.53,"1,934",05:45:21,117,182,58,244,18:39,00:48,811,791,0.92,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,05:45:20.96.2,1,0.0,03:25:09,05:45:21,484,"1,134"
Piesze wędrówki,2022-12-28 08:12:24,FALSE,Porąbka Piesze wędrówki,10.35,"1,035",03:25:17,108,186,69,263,19:50,05:39,567,563,0.73,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,03:25:17.32.3,1,0.0,02:19:36,03:25:17,386,780
Piesze wędrówki,2022-12-10 07:54:29,FALSE,Kozy Piesze wędrówki,12.23,"1,546",04:18:09,114,168,61,235,21:06,07:58,617,570,0.77,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,01:53:47.89.1,2,0.0,02:46:36,04:18:15,400,839
Piesze wędrówki,2022-11-12 07:51:22,FALSE,Brenna Piesze wędrówki,13.50,"1,742",04:56:36,116,186,55,248,21:59,05:22,588,589,0.83,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,04:56:35.98.6,1,0.0,02:41:36,04:56:39,475,940
Piesze wędrówki,2022-10-31 03:53:31,FALSE,Brenna Piesze wędrówki,17.30,"2,431",08:02:47,111,188,43,231,27:55:00,05:50,686,664,0.84,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,08:02:46.96.8,1,0.0,03:41:55,08:02:47,924,"1,236"
Piesze wędrówki,2022-10-29 07:50:33,FALSE,Łękawica Chodzenie,14.27,"2,302",07:01:40,116,194,44,229,29:33:00,00:55,696,691,0.80,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,03:24.32,15,0.0,03:13:37,07:01:44,698,890
Piesze wędrówki,2022-09-24 07:38:04,FALSE,Lutowiska Piesze wędrówki,19.96,"2,044",06:22:46,116,170,66,229,19:11,09:07,876,854,0.79,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,06:22:46.38.2,1,0.0,04:29:08,06:22:49,746,"1,358"
Piesze wędrówki,2022-09-23 08:24:06,FALSE,Lutowiska Piesze wędrówki,11.92,"1,459",05:02:19,108,168,55,229,25:22:00,10:57,734,680,0.72,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,05:02:19.30.4,1,0.0,03:02:32,05:02:24,707,"1,328"
Piesze wędrówki,2022-09-22 09:14:24,FALSE,Lutowiska Piesze wędrówki,13.30,"1,303",04:09:49,112,171,63,205,18:47,01:10,760,403,0.85,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,04:09:49.08.5,1,0.0,02:48:56,04:09:49,606,946
Piesze wędrówki,2022-09-14 05:15:13,TRUE,Bukowina Tatrzańska Piesze wędrówki,31.67,"3,356",11:50:14,109,178,45,243,22:26,00:51,"1,682","1,547",0.99,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,11:50:13.98.4,1,0.0,05:25:11,11:50:14,986,"2,464"
Piesze wędrówki,2022-09-03 08:14:08,FALSE,Ujsoły Piesze wędrówki,16.30,"1,835",06:21:01,107,181,51,246,23:23,01:16,862,848,0.84,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,06:21:01.36.3,1,0.0,03:21:04,06:21:01,745,"1,392"
Piesze wędrówki,2022-08-29 05:28:53,FALSE,Kęty Piesze wędrówki,2.34,170,00:47:58,86,124,40,158,20:32,07:09,11,12,1.21,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,47:58.13.1,1,0.0,00:18:41,00:47:58,269,277
Piesze wędrówki,2022-08-06 08:34:17,FALSE,Andrychów Piesze wędrówki,13.30,"1,059",03:24:07,109,166,69,248,15:21,00:59,496,566,0.94,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,03:24:07.16.2,1,0.0,02:26:48,03:24:07,343,730
Piesze wędrówki,2022-07-09 07:24:59,TRUE,Andrychów Chodzenie,21.72,"2,109",06:19:01,113,174,69,250,17:27,06:41,876,855,0.84,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,08:30.28.3,22,0.0,04:27:42,06:19:01,522,923
Piesze wędrówki,2022-06-25 07:44:29,FALSE,Szczyrk Piesze wędrówki,14.68,"2,298",06:54:54,123,185,43,253,28:15:00,08:19,735,708,0.82,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,06:54:54.05.2,1,0.0,03:10:01,06:54:54,526,"1,102"
Piesze wędrówki,2022-06-04 08:39:28,FALSE,Andrychów Piesze wędrówki,12.99,"1,438",04:55:16,108,180,56,231,22:44,07:58,604,574,0.79,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,04:55:15.85.7,1,0.0,02:53:22,04:55:16,502,926
Piesze wędrówki,2022-05-21 14:49:32,FALSE,Czernichów Piesze wędrówki,10.87,"1,386",03:59:28,119,156,51,216,22:01,01:08,34,546,0.89,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,03:59:27.62.1,1,0.0,02:18:19,03:59:28,285,821
Piesze wędrówki,2022-05-21 09:52:18,FALSE,Porąbka Piesze wędrówki,4.77,957,02:44:29,118,170,34,198,34:30:00,07:10,528,41,0.85,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,02:44:28.79,1,0.0,01:06:12,02:44:29,377,815
Piesze wędrówki,2022-05-13 06:23:03,FALSE,Zawoja Chodzenie,14.29,"2,114",06:27:25,115,180,47,226,27:06:00,07:36,736,721,0.81,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,03:22.98.5,15,0.0,03:14:49,08:03:57,970,"1,663"
Piesze wędrówki,2022-05-07 08:31:01,FALSE,Czernichów Chodzenie,12.22,"1,899",04:58:56,127,185,56,243,24:26:00,06:00,695,682,0.73,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,03:55.70.7,13,0.0,02:46:17,04:58:56,321,917
Piesze wędrówki,2022-04-23 13:22:55,FALSE,Porąbka Piesze wędrówki,1.53,215,00:21:42,128,147,86,229,14:09,08:16,11,103,0.82,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,21:41.89.5,1,0.0,00:17:53,00:21:42,496,603
Piesze wędrówki,2022-04-23 07:41:37,FALSE,Andrychów Piesze wędrówki,12.58,"1,615",04:26:09,117,182,60,218,21:11,09:36,454,615,0.79,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,02:08:03.47.1,2,0.0,02:42:58,04:26:14,420,890
Piesze wędrówki,2022-04-02 08:08:24,FALSE,Andrychów Piesze wędrówki,7.15,"1,989",05:30:50,111,176,30,264,46:18:00,05:49,517,468,0.73,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,05:30:49.68.3,1,0.0,01:48:32,06:03:20,506,937
Piesze wędrówki,2022-03-19 07:59:37,FALSE,Porąbka Piesze wędrówki,7.17,"2,166",05:08:47,121,179,32,243,43:04:00,05:23,336,531,0.74,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,05:08:47.23.8,1,0.0,01:36:04,05:08:47,373,799
Piesze wędrówki,2022-03-19 07:22:57,FALSE,Porąbka Piesze wędrówki,2.00,427,00:34:04,137,168,72,176,17:02,03:57,200,8,0.82,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,34:04.28.2,1,0.0,00:28:04,00:34:04,370,565
Piesze wędrówki,2022-03-12 07:19:00,FALSE,Andrychów Inne,18.88,"3,041",07:04:46,108,166,0,0,22:30,01:34,723,715,0.00,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,07:04:45.99.9,1,0.0,04:16:17,07:04:46,364,555
Piesze wędrówki,2022-03-05 07:54:00,FALSE,Andrychów Inne,13.36,"1,908",04:22:48,109,149,0,0,19:40,00:37,600,655,0.00,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,04:22:47.99.9,1,0.0,03:09:13,04:22:48,450,739
Piesze wędrówki,2022-02-27 07:55:00,FALSE,Andrychów Inne,10.29,"1,549",04:11:09,115,161,0,0,24:24:00,01:32,564,567,0.00,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,04:11:08.99.9,1,0.0,02:41:15,04:11:09,513,884
Piesze wędrówki,2022-02-19 08:38:00,FALSE,Kęty Inne,10.35,"1,549",03:19:51,112,174,0,0,19:19,01:20,157,157,0.00,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,03:19:51.00,1,0.0,02:24:11,03:19:51,305,364
Piesze wędrówki,2022-02-12 08:43:00,FALSE,Porąbka Inne,18.28,"2,881",06:27:35,110,162,0,0,21:12,01:13,"1,024",877,0.00,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,06:27:34.99.9,1,0.0,04:20:07,06:27:35,309,824
Piesze wędrówki,2022-01-16 12:22:00,FALSE,Wadowice Inne,2.86,288,00:39:10,108,150,0,0,13:41,02:17,19,341,0.00,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,39:09.99.9,1,0.0,00:34:11,00:39:10,530,862
Piesze wędrówki,2022-01-16 08:05:00,FALSE,Andrychów Inne,2.94,588,01:01:09,127,166,0,0,20:49,01:04,352,4,0.00,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,01:01:09.00,1,0.0,00:45:12,01:01:09,561,914
Piesze wędrówki,2023-01-28 08:41:00,FALSE,Andrychów Piesze wędrówki,13.87,"1,801",05:10:06,114,175,57,250,22:22,00:58,803,748,0.78,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,00:00,0.0,00:00,Nie,05:10:06.49.4,1,0.0,03:00:57,05:10:06,427,940